Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm)
25.5,6.8,7.05,1.95,950,1.3,900,1900,52
22,4.75,7.35,3.65,2305,1.7,1360,4610,188
24.5,6.95,7.35,1.35,450,1.75,515,900,171
24,6.7,7.15,1.35,600,1.05,605,1200,183
23,7,7.4,1.3,425,1,330,850,125.5
29.5,4.45,7.15,1.95,3590,1.35,330,7180,31.5
23.5,5.9,7.15,1.65,450,1.7,515,900,166.5
23,7.4,7.4,2.05,790,1.45,515,1580,118.5
25,4.45,5.7,1.7,402.5,1.3,330,805,163
24,5.9,7.75,1.8,1057.5,1.25,1150,2115,89
22,2.3,6.7,2.3,1400,1.5,730,2800,132
26,6.25,7.3,3.1,1150,2.8,930,2300,126.5
29,5.3,7.3,2.05,950,1.55,900,1900,115.5
22.5,5.45,7.15,2.1,650,1.3,545,1300,96
23.5,5.5,6.95,2.05,1225,1.2,545,2450,117
26,6.45,7.4,2,350,1.55,535,700,149.5
23.5,6.5,7.15,1,302.5,1.05,300,605,63
27,7.3,7.55,2.1,875,1.05,605,1750,84.5
27,7.25,7.75,1.65,58.5,0.65,48,117,429.5
27.5,1.7,7.7,27,567.5,0.25,175.5,1135,2096
27.5,6.75,7.95,7.55,190,0.85,61.5,380,668.5
27.5,6.7,7.85,2.5,111,1.25,64.5,222,692.5
27.5,7.6,7.25,0.85,23.75,0.2,1.9,47.5,452
27.5,0.8,7.95,123.5,512.5,0.39,366.5,1025,2278.5
28,7.3,8,1.85,135,0.65,71,270,328
30.5,0,7.5,32.5,2850,0.35,410,5700,1959.5
28,7,8.35,1.4,35.5,0.3,10.5,71,245
27,7.35,8.05,0.95,12.25,0.1,2.9,24.5,375.5
20.4,7.4,7.8,1.55,21.5,0.85,5.9,43,284
18.6,7.45,7.75,1.6,23.75,0.95,7.4,47.5,1280
23,6.85,7.85,1.8,25.75,0.45,9.9,51.5,244.5
22.5,7.65,8.2,1.1,21,0.445,1.8,42,246.5
22.5,7.5,8.2,1.3,19.75,0.85,1.8,39.5,352.5
23,7.75,8.15,1.2,20.25,0.65,1.8,40.5,313.5
20.25,7.7,7.8,1.45,21.5,0.8,6.4,43,259
25,8.4,8,1.65,158.5,2.3,10,317,933.5
23,7.45,8.3,1,22,0.7,1.8,44,309.5
24.5,8,8,2.15,617.5,2.715,25.5,1235,1025
25,8.65,8,2.15,552.5,8,56,1105,332
22.5,7.1,8.25,1.1,20.75,0.95,9.9,41.5,298.5
22.5,7.35,8.2,1.2,21.75,0.75,1.8,43.5,343
20.15,7.6,7.75,1.45,0,0.8,1.8,0,281
20.05,7.15,7.95,1.5,12.5,0.7,3.9,25,1545
18.6,7.5,7.75,1.6,19.5,0.7,5.4,39,302.5
18.7,7.5,7.7,1.6,22.5,0.9,7.9,45,325
25.5,7.5,7.75,1.6,22,0.6,1.8,44,404
24.5,8.5,8.2,1.75,540.75,2.25,32.4,1081.5,255
25.6,5.7,7.85,1.6,19.5,1.1,9.9,39,399
18.95,7.4,7.75,1.75,22.75,0.95,6.4,45.5,353
19.05,7,7.65,2,20.5,0.9,6.4,41,2252
23.5,7.1,8.1,1,20.5,0.8,1.8,41,337.5
28,6.95,7.85,0.37,28,0.115,25,56,281.5
28,6.9,7.95,0.6,27.75,0.15,23,55.5,274
25,7.4,7.7,0.55,60.75,0.5,15,121.5,286
28,6.75,7.9,0.7,35,0,27,70,1572.5
28.5,6.5,7.95,0.9,140,0,79.5,280,9272
