,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (μmho/ Cm)
8,23.5,5.9,7.15,1.65,450.0,1.7000000000000002,515.0,900.0,166.5
9,23.0,7.4,7.4,2.05,790.0,1.45,515.0,1580.0,118.5
10,25.0,4.45,5.7,1.7000000000000002,402.5,1.3,330.0,805.0,163.0
11,24.0,5.9,7.75,1.7999999999999998,1057.5,1.25,1150.0,2115.0,89.0
12,22.0,2.3,6.7,2.3,1400.0,1.5,730.0,2800.0,132.0
13,26.0,6.25,7.3,3.0999999999999996,1150.0,2.8000000000000003,930.0,2300.0,126.5
14,29.0,5.3,7.3,2.05,950.0,1.5499999999999998,900.0,1900.0,115.5
15,22.5,5.45,7.15,2.1,650.0,1.2999999999999998,545.0,1300.0,96.0
16,23.5,5.5,6.95,2.05,1225.0,1.2,545.0,2450.0,117.0
17,26.0,6.45,7.4,2.0,350.0,1.55,535.0,700.0,149.5
18,23.5,6.5,7.15,1.0,302.5,1.0499999999999998,300.0,605.0,63.0
19,27.0,7.300000000000001,7.55,2.0999999999999996,875.0,1.05,605.0,1750.0,84.5
2,27.0,7.25,7.75,1.65,58.5,0.65,48.0,117.0,429.5
3,27.5,1.7,7.699999999999999,27.0,567.5,0.25,175.5,1135.0,2096.0
4,27.5,6.75,7.95,7.55,190.0,0.85,61.5,380.0,668.5
5,27.5,6.7,7.8500000000000005,2.5,111.0,1.25,64.5,222.0,692.5
6,27.5,7.6,7.25,0.8500000000000001,23.75,0.2,1.9,47.5,452.0
7,27.5,0.8,7.95,123.5,512.5,0.39,366.5,1025.0,2278.5
8,28.0,7.3,8.0,1.85,135.0,0.65,71.0,270.0,328.0
9,30.5,0.0,7.5,32.5,2850.0,0.35,410.0,5700.0,1959.5
10,28.0,7.0,8.350000000000001,1.4,35.5,0.3,10.5,71.0,245.0
11,27.0,7.35,8.05,0.95,12.25,0.1,2.9,24.5,375.5
2,20.4,7.4,7.800000000000001,1.55,21.5,0.85,5.9,43.0,284.0
3,18.6,7.45,7.75,1.6,23.75,0.9500000000000001,7.4,47.5,1280.0
4,23.0,6.85,7.85,1.8,25.75,0.45,9.9,51.5,244.5
5,22.5,7.65,8.2,1.1,21.0,0.445,1.8,42.0,246.5
6,22.5,7.5,8.2,1.3,19.75,0.85,1.8,39.5,352.5
7,23.0,7.75,8.15,1.2,20.25,0.65,1.8,40.5,313.5
8,20.25,7.699999999999999,7.800000000000001,1.45,21.5,0.7999999999999999,6.4,43.0,259.0
9,25.0,8.4,8.0,1.65,158.5,2.3000000000000003,10.0,317.0,933.5
10,23.0,7.45,8.3,1.0,22.0,0.7,1.8,44.0,309.5
11,24.5,8.0,8.0,2.15,617.5,2.715,25.5,1235.0,1025.0
12,25.0,8.65,8.0,2.15,552.5,8.0,56.0,1105.0,332.0
13,22.5,7.1,8.25,1.1,20.75,0.95,9.9,41.5,298.5
14,22.5,7.35,8.2,1.2,21.75,0.75,1.8,43.5,343.0
15,20.15,7.6,7.75,1.4500000000000002,0.0,0.8,1.8,0.0,281.0
16,20.05,7.15,7.949999999999999,1.5,12.5,0.7000000000000001,3.9,25.0,1545.0
17,18.6,7.5,7.75,1.6,19.5,0.7000000000000001,5.4,39.0,302.5
18,18.7,7.5,7.7,1.6,22.5,0.9,7.9,45.0,325.0
19,25.5,7.5,7.75,1.6,22.0,0.6000000000000001,1.8,44.0,404.0
2,24.5,8.5,8.2,1.75,540.75,2.25,32.4,1081.5,255.0
3,25.6,5.699999999999999,7.8500000000000005,1.6,19.5,1.1,9.9,39.0,399.0
4,18.95,7.4,7.75,1.75,22.75,0.9500000000000001,6.4,45.5,353.0
5,19.05,7.0,7.65,2.0,20.5,0.9,6.4,41.0,2252.0
6,23.5,7.1,8.1,1.0,20.5,0.8,1.8,41.0,337.5
7,28.0,6.95,7.85,0.37,28.0,0.115,25.0,56.0,281.5
8,28.0,6.9,7.95,0.6,27.75,0.15000000000000002,23.0,55.5,274.0
9,25.0,7.4,7.7,0.55,60.75,0.5,15.0,121.5,286.0
10,28.0,6.75,7.8999999999999995,0.7,35.0,0.0,27.0,70.0,1572.5
11,28.5,6.5,7.949999999999999,0.9,140.0,0.0,79.5,280.0,9272.0
