,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
94,22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,191.0,1
95,22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,188.0,1
96,21.5,7.8,7.95,0.0,0.0,0.0,0.0,0.0,116.0,0
97,16.0,8.5,8.1,0.2,0.0,0.0,0.0,0.0,119.0,0
98,22.0,8.6,8.35,0.1,85.0,0.0,23.5,170.0,399.5,3
99,20.5,9.3,8.1,0.1,72.25,0.0,19.0,144.5,417.0,3
100,20.3,7.35,7.9,0.95,58.0,0.4,15.0,116.0,275.5,2
101,18.0,6.25,7.95,1.2,19.5,0.8,9.0,39.0,636.0,4
102,0.0,7.25,7.95,1.25,42.95,1.5,13.3,85.9,336.0,2
103,9.5,8.0,7.65,0.15,46.5,0.65,10.9,93.0,146.5,1
104,10.5,7.8,7.55,0.2,54.0,0.6,19.4,108.0,168.5,1
105,12.25,8.4,7.6,0.2,41.0,14.05,3.0,82.0,669.5,4
106,12.5,8.35,7.75,0.2,39.0,0.65,4.0,78.0,126.5,1
107,22.0,9.2,8.6,0.2,0.0,0.0,0.0,0.0,172.0,1
108,19.0,8.3,7.5,0.2,31.5,0.4,2.0,63.0,184.0,1
109,19.0,8.1,7.2,0.3,35.0,0.5,2.0,70.0,172.0,1
110,15.0,8.2,7.3,0.2,0.0,0.2,0.0,0.0,228.0,1
111,18.0,7.25,7.7,1.55,88.0,4.15,17.0,176.0,1850.0,4
112,18.0,6.5,7.7,3.1,630.0,4.45,177.0,1260.0,3010.0,4
113,14.5,7.55,8.35,0.5,87.75,2.3,12.0,175.5,1697.0,4
114,20.75,7.0,7.65,0.15,31.25,0.2,3.0,62.5,443.5,3
115,19.0,10.1,7.75,1.0,35.0,0.0,33.0,70.0,125.5,1
116,20.5,9.5,7.9,1.1,97.5,0.0,90.0,195.0,354.0,2
117,19.5,9.6,7.95,1.0,37.5,0.0,38.0,75.0,138.0,1
118,19.0,9.0,7.55,1.5,120.0,0.0,145.0,240.0,202.0,1
119,18.0,9.3,7.85,1.1,70.0,0.0,65.0,140.0,71.5,0
120,0.0,8.6,7.55,1.55,0.0,0.0,0.0,0.0,157.5,1
121,21.25,9.0,7.25,1.85,1010.0,0.575,960.0,2020.0,210.5,1
122,21.0,9.4,7.05,1.35,760.0,0.55,605.0,1520.0,209.5,1
123,22.5,8.7,7.2,1.95,180.0,0.47,195.0,360.0,221.0,1
124,23.5,8.75,7.3,1.7,290.0,0.435,300.0,580.0,227.0,1
125,21.5,8.95,7.35,1.75,557.5,0.515,600.0,1115.0,227.0,1
126,20.5,10.1,7.5,1.7,177.5,0.585,220.0,355.0,453.5,3
127,24.5,8.55,8.0,2.15,1100.0,0.0,850.9,2200.0,221.0,1
128,24.0,8.5,8.15,2.9,1975.0,0.0,2000.0,3950.0,275.0,2
129,24.0,8.1,8.2,3.5,2450.0,0.0,2500.0,4900.0,283.0,2
130,24.0,8.35,8.35,3.35,2275.0,0.0,2400.0,4550.0,276.5,2
131,24.0,8.05,8.25,3.25,2425.0,0.0,2550.0,4850.0,285.5,2
132,24.0,8.05,8.25,3.1,2025.0,0.0,2650.0,4050.0,284.0,2
133,24.0,7.7,8.25,3.55,2900.0,0.0,3250.0,5800.0,299.5,2
134,24.0,7.0,8.0,4.5,22750.0,0.0,26000.0,45500.0,332.5,2
135,24.0,7.6,8.1,4.1,15250.0,0.0,14650.0,30500.0,305.5,2
136,22.0,8.8,8.3,3.45,1800.0,0.82,3050.0,3600.0,329.5,2
137,22.0,8.95,8.2,3.4,1775.0,0.8,2900.0,3550.0,331.0,2
138,27.4,9.75,8.0,2.65,8350.0,1.445,9150.0,16700.0,207.5,1
139,27.55,9.2,8.15,2.95,9500.0,1.575,9300.0,19000.0,209.0,1
140,27.7,9.15,8.1,2.7,8850.0,1.61,8150.0,17700.0,259.5,2
141,27.75,9.35,7.95,2.35,7250.0,1.52,6250.0,14500.0,261.0,2
142,24.25,8.2,8.3,2.65,1000.0,0.69,1050.0,2000.0,410.0,3
143,24.4,7.55,8.35,3.6,8750.0,1.07,9000.0,17500.0,430.0,3
144,24.25,7.85,5.35,3.35,5500.0,0.945,6500.0,11000.0,424.0,3
145,25.75,8.6,8.25,2.5,1125.0,0.18,1100.0,2250.0,438.0,3
146,25.75,7.2,8.3,3.8,15000.0,0.275,17000.0,30000.0,460.0,3
147,26.5,7.9,8.4,3.4,6250.0,0.23,8000.0,12500.0,447.0,3
148,24.0,7.85,8.15,3.6,4400.0,0.0,3850.0,8800.0,310.0,2
149,26.25,7.15,8.4,3.8,13000.0,0.285,14000.0,26000.0,461.5,3
150,26.0,8.5,8.0,2.1,40575.0,0.195,14225.0,81150.0,381.0,3
151,26.0,3.35,7.65,37.5,40087.5,4.85,27023.0,80175.0,5730.0,4
152,23.0,1.75,7.65,24.0,2435.0,10.4,2775.0,4870.0,1000.0,4
153,23.0,2.2,7.55,26.5,1537.5,6.5,760.0,3075.0,1179.5,4
154,23.5,3.05,8.05,19.2,535.0,5.45,460.5,1070.0,1035.5,4
155,28.5,6.5,7.85,11.5,40400.0,2.2,46110.0,80800.0,1110.5,4
156,0.0,8.6,7.3,1.0,8000.0,0.2,5400.0,16000.0,429.0,3
157,19.0,2.6,7.5,27.5,800.0,0.0,0.0,1600.0,579.0,4
158,25.0,5.2,7.35,4.05,0.0,0.0,0.0,0.0,348.0,2
